,ACQ_BOOKEDDATE,ACQ_BEDVALUE_Mean,Customers_count,LIFETIME_BEDVALUE_mean,ACQ_BEDVALUE/Domestic/DESKTOP/1-2 Nights/,ACQ_BEDVALUE/Domestic/DESKTOP/3-4 Nights/,ACQ_BEDVALUE/Domestic/DESKTOP/5-6 Nights/,ACQ_BEDVALUE/Domestic/DESKTOP/7+ Nights/,ACQ_BEDVALUE/Domestic/MOBILE/1-2 Nights/,ACQ_BEDVALUE/Domestic/MOBILE/3-4 Nights/,ACQ_BEDVALUE/Domestic/MOBILE/5-6 Nights/,ACQ_BEDVALUE/Domestic/MOBILE/7+ Nights/,ACQ_BEDVALUE/Long Haul/DESKTOP/1-2 Nights/,ACQ_BEDVALUE/Long Haul/DESKTOP/3-4 Nights/,ACQ_BEDVALUE/Long Haul/DESKTOP/5-6 Nights/,ACQ_BEDVALUE/Long Haul/DESKTOP/7+ Nights/,ACQ_BEDVALUE/Long Haul/MOBILE/1-2 Nights/,ACQ_BEDVALUE/Long Haul/MOBILE/3-4 Nights/,ACQ_BEDVALUE/Long Haul/MOBILE/5-6 Nights/,ACQ_BEDVALUE/Long Haul/MOBILE/7+ Nights/,ACQ_BEDVALUE/Short Haul/DESKTOP/1-2 Nights/,ACQ_BEDVALUE/Short Haul/DESKTOP/3-4 Nights/,ACQ_BEDVALUE/Short Haul/DESKTOP/5-6 Nights/,ACQ_BEDVALUE/Short Haul/DESKTOP/7+ Nights/,ACQ_BEDVALUE/Short Haul/MOBILE/1-2 Nights/,ACQ_BEDVALUE/Short Haul/MOBILE/3-4 Nights/,ACQ_BEDVALUE/Short Haul/MOBILE/5-6 Nights/,ACQ_BEDVALUE/Short Haul/MOBILE/7+ Nights/,CUSTOMER_ID/Domestic/DESKTOP/1-2 Nights/,CUSTOMER_ID/Domestic/DESKTOP/3-4 Nights/,CUSTOMER_ID/Domestic/DESKTOP/5-6 Nights/,CUSTOMER_ID/Domestic/DESKTOP/7+ Nights/,CUSTOMER_ID/Domestic/MOBILE/1-2 Nights/,CUSTOMER_ID/Domestic/MOBILE/3-4 Nights/,CUSTOMER_ID/Domestic/MOBILE/5-6 Nights/,CUSTOMER_ID/Domestic/MOBILE/7+ Nights/,CUSTOMER_ID/Long Haul/DESKTOP/1-2 Nights/,CUSTOMER_ID/Long Haul/DESKTOP/3-4 Nights/,CUSTOMER_ID/Long Haul/DESKTOP/5-6 Nights/,CUSTOMER_ID/Long Haul/DESKTOP/7+ Nights/,CUSTOMER_ID/Long Haul/MOBILE/1-2 Nights/,CUSTOMER_ID/Long Haul/MOBILE/3-4 Nights/,CUSTOMER_ID/Long Haul/MOBILE/5-6 Nights/,CUSTOMER_ID/Long Haul/MOBILE/7+ Nights/,CUSTOMER_ID/Short Haul/DESKTOP/1-2 Nights/,CUSTOMER_ID/Short Haul/DESKTOP/3-4 Nights/,CUSTOMER_ID/Short Haul/DESKTOP/5-6 Nights/,CUSTOMER_ID/Short Haul/DESKTOP/7+ Nights/,CUSTOMER_ID/Short Haul/MOBILE/1-2 Nights/,CUSTOMER_ID/Short Haul/MOBILE/3-4 Nights/,CUSTOMER_ID/Short Haul/MOBILE/5-6 Nights/,CUSTOMER_ID/Short Haul/MOBILE/7+ Nights/
10,2018-09-14,525.018,1454,8452.4729,0.6935,1.3403,0.9894,2.4151,0.547,1.0545,2.696,0.7848,0.7485,1.716,1.4824,1.8588,0.4524,1.6925,0.9318,2.9537,0.6451,1.8601,1.9415,2.2787,0.6432,1.6601,1.5016,1.931,0.0928,0.0248,0.0069,0.0028,0.1052,0.0234,0.0028,0.0021,0.1217,0.0798,0.0144,0.0165,0.0268,0.0151,0.0048,0.0007,0.2091,0.0805,0.0131,0.0124,0.1032,0.0268,0.0083,0.0062
11,2018-09-15,561.0165,1374,8469.4469,0.4812,1.7169,1.6301,2.7992,0.5833,1.1916,2.1395,2.2487,0.6357,1.6216,1.3896,3.322,0.6479,0.9308,3.6814,3.7127,0.6704,1.5874,1.9415,2.113,0.6369,1.5449,1.3392,2.4229,0.107,0.0328,0.0058,0.0051,0.1004,0.0211,0.0073,0.0044,0.1295,0.0757,0.0146,0.0116,0.0408,0.0146,0.0044,0.0044,0.1689,0.0859,0.0109,0.0102,0.1041,0.0335,0.0044,0.0029
12,2018-09-16,566.5098,1383,9451.6956,0.5363,1.1937,2.5398,1.7824,0.4628,1.071,1.7929,2.5243,0.7035,1.7267,2.0544,1.7919,0.5967,0.9939,5.1903,3.4514,0.7984,1.7418,1.3279,1.3899,0.5416,2.0202,1.454,3.5959,0.1027,0.0347,0.008,0.0043,0.1157,0.0239,0.0043,0.0058,0.1193,0.0774,0.0145,0.008,0.0369,0.0166,0.0029,0.0007,0.1772,0.0774,0.0123,0.013,0.1005,0.0347,0.0058,0.0036
13,2018-09-17,557.4003,1284,8971.7187,0.5641,0.9498,0.4924,3.5491,0.3585,1.0898,2.2105,3.3149,0.681,1.5583,1.7812,4.1783,0.6778,1.5552,3.4851,5.0258,0.696,1.9004,2.1037,2.4491,0.7159,1.555,1.9231,2.009,0.0903,0.028,0.0078,0.0039,0.1417,0.0288,0.0055,0.0008,0.1145,0.0623,0.0132,0.0156,0.0413,0.0132,0.0047,0.0008,0.1854,0.0701,0.0202,0.0132,0.0966,0.0327,0.007,0.0023
14,2018-09-18,511.2136,1140,7658.8019,0.5619,1.6345,0.7465,5.6243,0.5026,1.0293,1.1872,0.597,0.6509,1.5654,2.1767,2.9605,0.7722,2.1474,3.0495,0.0,0.7091,1.7887,2.1053,5.082,0.6644,0.7967,2.2246,2.0892,0.1026,0.0377,0.007,0.0035,0.1456,0.0316,0.0053,0.0018,0.107,0.0632,0.0149,0.0114,0.0421,0.0219,0.0061,0.0,0.1649,0.0632,0.014,0.0079,0.1158,0.0272,0.0035,0.0018
15,2018-09-19,559.0328,1058,7477.1531,0.5024,1.4501,1.7564,4.2946,0.4026,1.1509,1.3467,2.1383,0.6972,2.0095,1.602,4.2704,0.4449,2.0071,2.6078,1.3055,0.7343,1.752,3.9269,2.029,0.5732,1.4969,1.5663,2.0786,0.0879,0.018,0.0066,0.0047,0.1739,0.0255,0.0038,0.0066,0.0945,0.0548,0.0217,0.017,0.0529,0.0085,0.0028,0.0019,0.1616,0.0671,0.0104,0.0123,0.1191,0.0359,0.0085,0.0038
16,2018-09-20,542.786,1195,9655.6745,0.424,0.8826,0.7604,0.9684,0.4904,0.9938,1.1833,0.4519,0.7599,1.7365,2.3986,2.105,0.6546,1.6242,1.202,1.641,0.6744,2.1527,2.001,5.64,0.4735,1.3762,2.6639,0.9098,0.0971,0.0176,0.0075,0.0042,0.113,0.0268,0.0042,0.0042,0.1322,0.0937,0.0176,0.0109,0.0485,0.0126,0.0042,0.0025,0.1649,0.0745,0.0184,0.0075,0.1013,0.0301,0.005,0.0017
17,2018-09-21,531.2173,1310,8115.7642,0.5364,1.385,1.8741,2.0847,0.4434,0.7153,2.0468,2.1789,0.7928,1.6389,2.2834,2.7106,0.664,1.5254,1.3701,1.7518,0.6345,1.7766,2.2037,2.6111,0.5405,1.6348,2.3224,2.1394,0.0962,0.029,0.0038,0.0069,0.113,0.0214,0.0046,0.0031,0.1115,0.0733,0.0153,0.0153,0.0344,0.0206,0.0053,0.0015,0.1855,0.0748,0.0237,0.0061,0.1107,0.0359,0.0069,0.0015
18,2018-09-22,520.7093,1324,8629.5551,0.5549,1.0382,1.379,3.0344,0.4148,1.6266,2.8355,2.742,0.6798,1.6398,1.3596,2.5873,0.6733,1.2402,2.6806,3.5251,0.6341,1.7874,3.317,1.4596,0.6378,1.589,3.8098,1.7371,0.1057,0.0242,0.0068,0.0053,0.1088,0.0257,0.0023,0.0015,0.1292,0.0695,0.0189,0.0091,0.0385,0.0174,0.0053,0.003,0.182,0.0733,0.0189,0.0083,0.1012,0.0347,0.0053,0.0053
19,2018-09-23,588.9306,1300,9645.8432,0.618,1.1297,1.463,1.7149,0.3604,0.9762,3.0742,1.8084,0.6063,1.7197,2.4496,4.0515,0.6016,2.1111,1.845,1.2398,0.7766,1.8081,2.0917,1.7548,0.6335,1.4908,1.5025,2.089,0.1008,0.0262,0.0031,0.0077,0.1277,0.0223,0.0031,0.0054,0.1377,0.07,0.0177,0.0131,0.0346,0.0169,0.0069,0.0023,0.1738,0.0738,0.0154,0.0077,0.1008,0.0208,0.0062,0.0062
